,title,artist,title_lower,artist_lower,artist_lower_clean,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
55,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,mr. right now,21 savage & metro boomin featuring drake,21 savage metro boomin drake,0.647,0.667,5.0,-5.563,1.0,0.304,0.231,0.0,0.133,0.704,172.08,4Q34FP1AT7GEl9oLgNtiWj
56,Iris,Phoebe & Maggie,iris,phoebe & maggie,phoebe maggie,,,,,,,,,,,,
57,Franchise,Travis Scott Featuring Young Thug & M.I.A.,franchise,travis scott featuring young thug & m.i.a.,travis scott young thug m.i.a.,0.835,0.699,8.0,-5.405,0.0,0.277,0.00671,0.0,0.195,0.547,154.981,4jVBIpuOiMj1crqd8LoCrJ
58,My Ex's Best Friend,Machine Gun Kelly X blackbear,my ex's best friend,machine gun kelly x blackbear,machine gun kelly blackbear,0.731,0.675,5.0,-5.134,0.0,0.0434,0.00473,0.0,0.141,0.298,124.939,7kDUspsoYfLkWnZR7qwHZl
59,Took Her To The O,King Von,took her to the o,king von,king von,0.82,0.592,1.0,-7.002,1.0,0.29,0.0149,4.71e-06,0.121,0.4,159.98,7fEoXCZTZFosUFvFQg1BmW
60,Mood Swings,Pop Smoke Featuring Lil Tjay,mood swings,pop smoke featuring lil tjay,pop smoke lil tjay,0.48,0.602,10.0,-6.335,0.0,0.368,0.487,0.0,0.0848,0.269,179.798,5rZlwNFl01HqLWBQGryKSm
61,B.S.,Jhene Aiko Featuring H.E.R.,b.s.,jhene aiko featuring h.e.r.,jhene aiko h.e.r.,0.617,0.525,8.0,-10.426,0.0,0.12,0.554,1.1e-06,0.135,0.377,135.781,63wx9vdskaXbYxyDx4oJCZ
62,7 Summers,Morgan Wallen,7 summers,morgan wallen,morgan wallen,0.457,0.774,0.0,-5.201,1.0,0.0336,0.428,4.29e-05,0.119,0.59,203.863,0tbjiOUl4k492KPdWZS9sy
63,Marni On Me,Future & Lil Uzi Vert,marni on me,future & lil uzi vert,future lil uzi vert,0.759,0.52,2.0,-7.042,1.0,0.447,0.0187,0.0,0.313,0.116,123.189,6NaVCCFGylOLZAgk5eTTid
64,Midnight Sky,Miley Cyrus,midnight sky,miley cyrus,miley cyrus,0.705,0.814,4.0,-5.466,0.0,0.0346,0.00115,0.00312,0.203,0.259,110.0,27ycaQnQAxaPiyeg3nr2aB
65,Tyler Herro,Jack Harlow,tyler herro,jack harlow,jack harlow,0.794,0.756,5.0,-7.16,0.0,0.136,0.11,0.0,0.247,0.775,123.066,4DuUwzP4ALMqpquHU0ltAB
66,Million Dollar Play,Future & Lil Uzi Vert,million dollar play,future & lil uzi vert,future lil uzi vert,0.839,0.502,0.0,-5.886,0.0,0.398,0.11,0.0,0.115,0.585,150.07,7liO3TEHfUqLnIlN54CW1D
67,Sleeping On The Floor,Future & Lil Uzi Vert,sleeping on the floor,future & lil uzi vert,future lil uzi vert,0.851,0.621,11.0,-6.679,1.0,0.362,0.0233,0.0,0.161,0.532,150.969,0DUHmrwC8ZviGGC2o2JBy1
68,Throat Baby (Go Baby),BRS Kash,throat baby (go baby),brs kash,brs kash,0.9,0.521,4.0,-7.286,0.0,0.147,0.0135,0.0,0.0951,0.213,132.007,31iqpzg1ZXLLgq0L5iIwLe
69,Don't Stop,Megan Thee Stallion Featuring Young Thug,don't stop,megan thee stallion featuring young thug,megan thee stallion young thug,0.933,0.757,2.0,-3.212,1.0,0.117,0.00184,0.0,0.135,0.544,137.993,3yv7994DWTEk3ihwy75YBQ
70,Good Time,Niko Moon,good time,niko moon,niko moon,0.79,0.646,5.0,-5.878,1.0,0.0447,0.132,0.0,0.295,0.641,138.047,5Kpg1A7BOHpBbaT3H3xqd3
71,Hole In The Bottle,Kelsea Ballerini,hole in the bottle,kelsea ballerini,kelsea ballerini,0.672,0.552,4.0,-6.375,1.0,0.0316,0.504,0.0,0.0636,0.594,105.02,1f6BZccfonUYohfGJIeBR1
72,U 2 Luv,Ne-Yo & Jeremih,u 2 luv,ne-yo & jeremih,ne-yo jeremih,0.626,0.592,6.0,-7.085,1.0,0.147,0.138,0.000312,0.0957,0.65,177.715,3862MQcbNmghGJDfk8cOJi
73,Blind,DaBaby Featuring Young Thug,blind,dababy featuring young thug,dababy young thug,0.709,0.679,11.0,-6.503,0.0,0.346,0.0115,0.0,0.0971,0.754,162.973,2T5NBwKRySiCR78vVk08vr
74,So Done,The Kid LAROI,so done,the kid laroi,the kid laroi,0.719,0.598,9.0,-6.254,1.0,0.077,0.232,0.0,0.115,0.303,142.592,5psEZhQu6lukjhavJo4AbC
75,Hit Different,SZA Featuring Ty Dolla $ign,hit different,sza featuring ty dolla $ign,sza ty dolla $ign,0.679,0.516,0.0,-6.371,0.0,0.0452,0.199,0.0,0.0965,0.716,120.074,7Bar1kLTmsRmH6FCKKMEyU
76,Golden,Harry Styles,golden,harry styles,harry styles,0.448,0.838,4.0,-5.257,0.0,0.0557,0.21,0.000131,0.131,0.254,139.863,45S5WTQEGOB1VHr1Q4FuPl
77,Champagne Night,Lady A,champagne night,lady a,lady a,0.523,0.927,4.0,-2.796,1.0,0.0489,0.0272,5.98e-06,0.168,0.939,149.929,48F2xnWq3LuzYWML327Z2r
78,Some Girls,Jameson Rodgers,some girls,jameson rodgers,jameson rodgers,0.431,0.831,8.0,-5.108,1.0,0.0474,0.0791,0.0,0.312,0.352,167.96,54eUv9Q3D9MZuOGS5PSflp
79,Martin & Gina,Polo G,martin & gina,polo g,polo g,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,1VLtjHwRWOVJiE5Py7JxoQ
80,Whoopty,CJ,whoopty,cj,cj,0.711,0.598,3.0,-7.621,0.0,0.182,0.19,0.0,0.15,0.737,140.175,5vGLcdRuSbUhD8ScwsGSdA
81,Everywhere But On,Matt Stell,everywhere but on,matt stell,matt stell,0.563,0.722,6.0,-3.972,1.0,0.0279,0.0345,0.0,0.0795,0.309,149.903,0ifYeH4gNXEyba41xr3I1w
82,Popstar,DJ Khaled Featuring Drake,popstar,dj khaled featuring drake,dj khaled drake,0.8,0.56,5.0,-4.818,0.0,0.261,0.057,0.0,0.134,0.45,163.071,6EDO9iiTtwNv6waLwa1UUq
83,Wishing Well,Juice WRLD,wishing well,juice wrld,juice wrld,0.65,0.613,9.0,-6.13,0.0,0.128,0.00336,0.0,0.267,0.0804,149.972,2U5WueTLIK5WJLD7mvDODv
84,What's Your Country Song,Thomas Rhett,what's your country song,thomas rhett,thomas rhett,0.355,0.706,5.0,-6.164,1.0,0.0309,0.000532,0.0,0.264,0.523,174.005,7Cw3yXDA8Uui37SI5FFaA7
85,Plastic,Future & Lil Uzi Vert,plastic,future & lil uzi vert,future lil uzi vert,0.773,0.505,5.0,-5.716,0.0,0.061,0.0485,0.0,0.158,0.142,160.031,6GK5du9ndZ7ZwMBrTRTGMH
